,epoch,recall@5,recall@20,recall@50,ncdg@100,cov@5,cov@20,cov@50,cov@100,epochs
0,,0.22411,0.2946456029,0.4115424619,0.3206364334,0.0242760618,0.046042471,0.0696911197,0.0963320463,1.0
1,,0.2574816667,0.3247604021,0.4473123434,0.3533547617,0.034507722,0.0611003861,0.0902509653,0.1195945946,2.0
2,,0.275205,0.3409402413,0.4685110897,0.3723667779,0.044980695,0.0797297297,0.1124034749,0.1465733591,3.0
3,,0.2831616667,0.3516216572,0.4782024994,0.3810390083,0.0498552124,0.0889478764,0.1263996139,0.1630791506,4.0
4,,0.2942833333,0.3607436602,0.4872001198,0.3895520319,0.0541988417,0.0956563707,0.1371138996,0.1756274131,5.0
5,,0.298015,0.363640572,0.4911539705,0.392261223,0.0504343629,0.0926158301,0.1348455598,0.1736486486,6.0
6,,0.3046866667,0.3704006657,0.4984317146,0.3989430204,0.053957529,0.0999517375,0.144546332,0.1864382239,7.0
7,,0.3048983333,0.3733404848,0.5008990305,0.4021224869,0.0548262548,0.1042471042,0.1476351351,0.1917953668,8.0
8,,0.307965,0.3764727916,0.5055273606,0.4052028563,0.0534749035,0.1030888031,0.1480212355,0.1918918919,9.0
9,,0.3088,0.3759927798,0.508423032,0.4060536365,0.0529440154,0.1047297297,0.1525579151,0.1987451737,10.0
10,,0.3109666667,0.3802126001,0.5114388985,0.4090723668,0.055019305,0.1087837838,0.1583494208,0.2045849421,11.0
11,,0.3133366667,0.382813065,0.5135851091,0.4131885928,0.0598455598,0.1164092664,0.1657335907,0.2097007722,12.0
12,,0.3185633333,0.38789977,0.5177129078,0.4160191553,0.0641891892,0.1268822394,0.1788127413,0.2263513514,13.0
13,,0.3175533333,0.3862217554,0.5179939531,0.4163316999,0.0555019305,0.1146718147,0.1686293436,0.2166023166,14.0
14,,0.3203666667,0.3881303622,0.5213961792,0.4187809091,0.061969112,0.1239382239,0.1786196911,0.2254826255,15.0
15,,0.3217383333,0.3907567107,0.5238222593,0.4207924239,0.0643822394,0.1281370656,0.1852316602,0.2316119691,16.0
16,,0.3241716667,0.3935057331,0.5264431283,0.4238483057,0.0665057915,0.1333494208,0.1900096525,0.2388513514,17.0
17,,0.3226616667,0.3935122886,0.5263404889,0.4239872879,0.0646718147,0.1331081081,0.1915540541,0.2398648649,18.0
18,,0.3263716667,0.3949911684,0.5276172102,0.4257806352,0.0625965251,0.1316602317,0.1899131274,0.2413127413,19.0
19,,0.3262216667,0.3958506749,0.527939829,0.4257975504,0.0606660232,0.1296814672,0.1891891892,0.2377895753,20.0
20,,0.3275066667,0.3976930452,0.5300795585,0.4275106151,0.0644305019,0.1357142857,0.1980694981,0.2489382239,21.0
21,,0.3266916667,0.3954854031,0.5280451374,0.4260833804,0.0537644788,0.1182432432,0.1793918919,0.2304054054,22.0
22,,0.3280533333,0.3967756406,0.5316091956,0.428643158,0.0590733591,0.1310328185,0.1929054054,0.2430019305,23.0
23,,0.3309333333,0.4000384414,0.5337903073,0.430393502,0.0631756757,0.1360521236,0.2006274131,0.2522683398,24.0
24,,0.3325666667,0.4010216382,0.5347581542,0.4323072312,0.0606177606,0.1333494208,0.1986969112,0.2490830116,25.0
25,,0.33211,0.401921317,0.5361072617,0.4325633858,0.0646235521,0.141023166,0.2061293436,0.2577702703,26.0
26,,0.3333933333,0.4035399489,0.5377653834,0.4333799249,0.0587837838,0.1311776062,0.1986969112,0.2511100386,27.0
27,,0.332975,0.403813556,0.5378332923,0.4333674715,0.0611003861,0.1353281853,0.2040540541,0.2555019305,28.0
28,,0.3328216667,0.4021548027,0.537389071,0.4334320788,0.0583494208,0.1317084942,0.1986486486,0.250965251,29.0
29,,0.3331666667,0.402612032,0.5380640115,0.4348237643,0.0607142857,0.1352799228,0.2042471042,0.2555501931,30.0
30,,0.335155,0.4055403446,0.5393648071,0.4352694434,0.0636583012,0.1380791506,0.2091216216,0.2608108108,31.0
31,,0.3361033333,0.405671792,0.5398101243,0.4358969935,0.0608590734,0.1367277992,0.2077702703,0.2597007722,32.0
32,,0.335345,0.4067935794,0.539842328,0.4360854497,0.0650096525,0.1430501931,0.2138996139,0.2643822394,33.0
33,,0.3355366667,0.405512514,0.5411693373,0.436210707,0.0594111969,0.1310328185,0.2023648649,0.2563706564,34.0
34,,0.336155,0.4068584386,0.5420646295,0.4373546963,0.0630791506,0.1412644788,0.2125,0.2652509653,35.0
35,,0.3365783333,0.4069071602,0.5415862249,0.4365577579,0.0596525097,0.1350868726,0.2061776062,0.2599420849,36.0
36,,0.33815,0.407353702,0.5425714122,0.437229191,0.0642374517,0.1410714286,0.2138030888,0.266023166,37.0
37,,0.337895,0.4080553877,0.5434476703,0.4373457605,0.06496139,0.1426640927,0.215492278,0.268484556,38.0
38,,0.3396733333,0.4097700984,0.5434467815,0.4384819248,0.0673262548,0.1461872587,0.2204150579,0.2731177606,39.0
39,,0.3379683333,0.4091266253,0.5428399616,0.4371684813,0.0683397683,0.1488416988,0.2202220077,0.2741312741,40.0
